ranking,rank,city,country
Adventure Seeker,1,Bangkok,Thailand
Adventure Seeker,2,Kuala Lumpur,Malaysia
Adventure Seeker,3,Chiang Mai,Thailand
Adventure Seeker,4,Da Nang,Vietnam
Adventure Seeker,5,Ubud,Indonesia
Smart Spender,1,Jaipur,India
Smart Spender,2,Bangkok,Thailand
Smart Spender,3,Da Nang,Vietnam
Smart Spender,4,Chennai,India
Smart Spender,5,Weligama,Sri Lanka
Easy Mover,1,Seville,Spain
Easy Mover,2,Ericeira,Portugal
Easy Mover,3,Valencia,Spain
Easy Mover,4,Faro,Portugal
Easy Mover,5,Rome,Italy
